SampleID,Horvath,Hannum,PhenoAge
TCGA.A2.A0T4.01A.31D.A10P.05,83.23842429,107.2831619,107.0309885
TCGA.AR.A2LO.01A.31D.A18O.05,67.02893599,77.08566904,68.70116165
TCGA.Z7.A8R6.01A.11D.A41Q.05,60.33415085,41.93506249,60.62018466
TCGA.D8.A27M.01A.11D.A16G.05,44.46689819,61.16423836,52.00074089
TCGA.A7.A0DC.01B.04D.A22R.05,56.25137789,81.88794237,68.62569134
TCGA.LL.A6FP.01A.11D.A31V.05,55.50809204,101.9306247,100.0406223
TCGA.5L.AAT1.01A.12D.A41Q.05,70.7057295,67.14698616,80.36568767
TCGA.GI.A2C8.01A.11D.A16G.05,67.86745546,90.79104497,113.0504358
TCGA.AC.A2QH.01A.11D.A18O.05,37.228678,18.84811069,59.74148373
TCGA.E2.A1L7.01A.11D.A145.05,57.41448443,74.31010184,89.78959063
TCGA.AC.A8OP.01A.11D.A36K.05,109.3148445,103.3432048,161.4962239
TCGA.A2.A4RW.01A.21D.A268.05,42.98081651,47.61669836,66.07325946
TCGA.E2.A1LI.01A.12D.A161.05,44.69477641,48.64583213,69.18539026
TCGA.AC.A2FG.01A.11D.A17F.05,81.73853254,78.22307072,84.76829618
TCGA.E9.A6HE.01A.11D.A31V.05,64.83750843,82.62666287,79.57559791
TCGA.A2.A0CR.01A.11D.A22B.05,62.31801901,75.90684417,53.78744321
TCGA.A2.A25B.01A.11D.A16A.05,53.39888679,74.52749908,64.67942074
TCGA.OL.A66K.01A.11D.A29O.05,79.48156766,69.26155782,129.5495248
TCGA.D8.A1Y3.01A.11D.A161.05,94.46945248,86.2837705,167.1279266
TCGA.GM.A5PV.01A.11D.A28C.05,74.56198657,79.98285619,73.35310212
TCGA.D8.A1XD.01A.11D.A14H.05,58.63099088,50.19167145,60.90268843
TCGA.B6.A0WX.01A.11D.A10A.05,54.27476224,43.01451826,83.41762362
TCGA.E9.A1NF.01A.11D.A14H.05,57.43411636,67.90895215,89.16758329
TCGA.EW.A1J2.01A.21D.A13K.05,82.6053276,65.19466134,83.83515052
TCGA.UL.AAZ6.01A.11D.A41Q.05,25.59245637,83.04390246,51.51277749
TCGA.AR.A255.01A.11D.A16A.05,101.3155534,84.03073059,103.0973007
TCGA.AR.A0U3.01A.11D.A10A.05,70.28289643,119.4217075,117.9309654
TCGA.B6.A0RT.01A.21D.A10P.05,39.9772565,48.24830574,37.73478127
TCGA.AC.A3HN.01A.11D.A212.05,70.10722957,88.91692646,68.76208081
TCGA.A1.A0SP.01A.11D.A10P.05,52.78978243,55.23486654,67.60621587
TCGA.BH.A6R8.01A.21D.A33F.05,62.65160452,83.15657033,64.23799549
TCGA.BH.A0HN.01A.11D.A10P.05,76.17273931,125.9918883,144.4116671
TCGA.A2.A1FW.01A.11D.A13K.05,12.66326772,48.57463624,86.85952641
TCGA.BH.A209.01A.11D.A161.05,66.16055292,79.90820771,94.68729992
TCGA.A7.A26G.01A.21D.A16A.05,52.8095791,50.78047185,50.68643495
TCGA.W8.A86G.01A.21D.A36K.05,67.43741912,70.24577433,87.63193803
TCGA.BH.A1F6.01A.11D.A13K.05,29.64973239,69.92915438,61.68851482
TCGA.AO.A03M.01B.11D.A10N.05,20.79866118,34.42563977,3.034924553
TCGA.B6.A0WY.01A.11D.A10A.05,51.52243083,48.40238616,82.8269875
TCGA.EW.A1IX.01A.12D.A145.05,56.23181055,61.6260569,32.04924862
TCGA.GM.A2DK.01A.21D.A17Z.05,61.29054687,71.39546605,68.14239488
TCGA.D8.A27I.01A.11D.A16G.05,65.97699957,57.5369872,68.87725
TCGA.EW.A6S9.01A.22D.A33F.05,49.02190677,89.63559747,69.30432441
TCGA.LL.A740.01A.21D.A32T.05,47.68692616,98.54956628,125.7684288
TCGA.E9.A1N6.01A.11D.A145.05,19.64092592,60.0709684,46.3125282
TCGA.EW.A1J5.01A.11D.A13K.05,87.89549819,95.3815255,108.9653138
TCGA.B6.A0RO.01A.22D.A10P.05,61.18981477,66.86744558,78.79839092
TCGA.GM.A3XG.01A.31D.A244.05,62.27374551,44.66615671,62.62929797
TCGA.EW.A3E8.01B.11D.A244.05,100.1744978,95.69018623,97.0649126
TCGA.AR.A24S.01A.11D.A16A.05,45.5752462,53.81125088,44.79326554
TCGA.Z7.A8R5.01A.42D.A41Q.05,65.36350399,70.92367495,74.84252246
TCGA.AO.A12C.01A.11D.A10N.05,10.21504657,74.16569476,45.22982881
TCGA.E9.A1N4.01A.11D.A14N.05,82.90911864,77.38430243,70.90955618
TCGA.A1.A0SO.01A.22D.A10P.05,4.238282127,41.83075958,18.43173558
TCGA.A7.A13G.01B.04D.A22R.05,60.24327159,59.92049266,63.92687304
TCGA.E9.A2JS.01A.11D.A17Z.05,71.63176022,102.3270307,87.03363581
TCGA.BH.A202.01A.11D.A14N.05,92.43329797,77.95589011,138.7539678
TCGA.WT.AB41.01A.11D.A41Q.05,99.62488311,91.42617183,108.3764891
TCGA.BH.A0RX.01A.21D.A10P.05,54.70295058,63.95617984,55.84698359
TCGA.AR.A5QQ.01A.11D.A28C.05,68.56451969,68.73814814,79.62646377
TCGA.BH.A0HX.01A.21D.A10P.05,55.05058807,58.4563512,61.8304301
TCGA.C8.A27A.01A.11D.A16A.05,65.11087442,108.4797765,133.6154791
TCGA.A2.A25D.01A.12D.A16G.05,95.31705267,91.24897792,106.1411214
TCGA.BH.A201.01A.11D.A14N.05,74.94659266,77.33102821,104.8175743
TCGA.AR.A5QP.01A.11D.A28C.05,67.38737011,66.56927409,78.60387918
TCGA.BH.A0W3.01A.11D.A10A.05,59.39455208,64.71605328,84.02529666
TCGA.5T.A9QA.01A.11D.A41Q.05,128.0686888,142.4732058,192.7152538
TCGA.AR.A24V.01A.21D.A16A.05,90.85632053,100.8374354,117.7684506
TCGA.E9.A227.01A.11D.A161.05,52.43940532,55.11731881,51.91129949
TCGA.D8.A1JU.01A.11D.A13K.05,60.05954734,63.68966625,45.54162428
TCGA.PE.A5DD.01A.12D.A27Y.05,77.58362126,90.37858709,145.9854324
TCGA.D8.A73X.01A.11D.A32T.05,92.14582803,75.51392954,103.3538946
TCGA.AR.A2LR.01A.12D.A18O.05,36.21623438,70.87760274,44.96223619
TCGA.B6.A1KC.01A.11D.A13K.05,76.09033807,78.56989964,70.15707869
TCGA.A7.A4SB.01A.21D.A268.05,71.52516198,71.14856629,73.68636312
TCGA.AO.A03N.01B.11D.A10N.05,40.80236878,68.16227336,99.62773745
TCGA.A2.A0SV.01A.11D.A10P.05,82.41292183,85.70006022,120.0493944
TCGA.AR.A2LE.01A.11D.A17Z.05,106.8487443,95.78403069,97.93299524
TCGA.E9.A1NA.01A.11D.A145.05,103.2583632,102.999445,145.5842431
TCGA.D8.A1JP.01A.11D.A13K.05,52.9575572,53.50935208,74.88593866
TCGA.S3.AA11.01A.31D.A41Q.05,64.40502891,90.94984605,132.0969256
TCGA.BH.A0W5.01A.11D.A10A.05,73.64709085,66.01154759,66.24208593
TCGA.AC.A4ZE.01A.11D.A41Q.05,117.5794058,146.3217714,201.834473
TCGA.E9.A22A.01A.11D.A161.05,70.65130448,75.38985789,78.83176079
TCGA.C8.A1HO.01A.11D.A13K.05,100.8807863,80.9525967,138.4655381
TCGA.EW.A2FW.01A.11D.A17F.05,47.87976037,84.48224567,97.79814935
TCGA.PL.A8LV.01A.21D.A41Q.05,49.63848944,59.27371197,50.60755645
TCGA.E9.A247.01A.11D.A16A.05,64.9568194,92.25405438,87.57082324
TCGA.E9.A1R4.01A.21D.A14H.05,64.85724951,83.07563739,77.39874841
TCGA.D8.A1XV.01A.11D.A14N.05,82.22033921,112.1015835,130.6719865
